season_year,category,team_label,kolo,datum,souper,pozice,typ,jmeno,partner,vysledek
2026,dospeli,A,7,20.6.2026,TJ Solidarita Praha 10 A ,1,singl,Kubín Marian,,L
2026,dospeli,A,7,20.6.2026,TJ Solidarita Praha 10 A ,2,singl,Uhlíř Vít,,W
2026,dospeli,A,7,20.6.2026,TJ Solidarita Praha 10 A ,3,singl,Benetková Jessica (H),,W
2026,dospeli,A,7,20.6.2026,TJ Solidarita Praha 10 A ,4,debl,Kubín Marian,Uhlíř Vít,L
2026,dospeli,A,7,20.6.2026,TJ Solidarita Praha 10 A ,4,debl,Uhlíř Vít,Kubín Marian,L
2026,dospeli,B,7,20.6.2026,SK Meteor Praha B,1,singl,Břicháček Bedřich,,W
2026,dospeli,B,7,20.6.2026,SK Meteor Praha B,2,singl,Roušar Petr,,W
2026,dospeli,B,7,20.6.2026,SK Meteor Praha B,3,singl,Nováčková Karolína,,W
2026,dospeli,B,7,20.6.2026,SK Meteor Praha B,4,singl,Skopcová Valerie,,L
2026,dospeli,B,7,20.6.2026,SK Meteor Praha B,5,singl,Volf Jakub,,W
2026,dospeli,B,7,20.6.2026,SK Meteor Praha B,6,singl,Suvorov Maksym (Z),,W
2026,dospeli,B,7,20.6.2026,SK Meteor Praha B,7,debl,Nováčková Karolína,Skopcová Valerie,W
2026,dospeli,B,7,20.6.2026,SK Meteor Praha B,7,debl,Skopcová Valerie,Nováčková Karolína,W
2026,dospeli,B,7,20.6.2026,SK Meteor Praha B,8,debl,Břicháček Bedřich,Roušar Petr,W
2026,dospeli,B,7,20.6.2026,SK Meteor Praha B,8,debl,Roušar Petr,Břicháček Bedřich,W
2026,dospeli,B,7,20.6.2026,SK Meteor Praha B,9,debl,Volf Jakub,Suvorov Maksym (Z),W
2026,dospeli,B,7,20.6.2026,SK Meteor Praha B,9,debl,Suvorov Maksym (Z),Volf Jakub,W
